 ===============================================================
         Steady state solution for a 2D rectangular plate       
             with borders at constant temperature               
                     Absolute temperatures                      
 ===============================================================
                 Author: Dickson Alves de Souza                 
    Based on lectures by professor Roberto Parreiras Tavares    
       and book Numerical Heat Transfer and Fluid Flow          
       by Suhas V. Patankar (1980)                              
                                                                
               Federal University of Minas Gerais               
                      September 21st, 2017                      
 ===============================================================
                       Input parameters:                        
 
 Lenght in X direction:       5.0000
 Lenght in Y direction:       5.0000
 Nodes in X direction:           200
 Nodes in Y direction:           200
 Temperature T1 (left, right and bottom borders):    1200.0000
 Temperature T2 (top border):                         700.0000
 
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
     No relaxation applied to solution.
 Tolerance:   0.1000E-03
 
 Iterations:                 33604
 ========================================================================
                    Calculation Results                                  
 ========================================================================
            I           J           X           Y           T   Exact Sol
            1          75      0.0251      1.8844   1198.6766   1198.6826
            1          76      0.0251      1.9095   1198.6505   1198.6565
            1          77      0.0251      1.9347   1198.6239   1198.6300
            1          78      0.0251      1.9598   1198.5969   1198.6030
            1          79      0.0251      1.9849   1198.5695   1198.5757
            1          80      0.0251      2.0101   1198.5417   1198.5479
            1          81      0.0251      2.0352   1198.5135   1198.5197
            1          82      0.0251      2.0603   1198.4848   1198.4910
            1          83      0.0251      2.0854   1198.4556   1198.4619
            1          84      0.0251      2.1106   1198.4260   1198.4323
            1          85      0.0251      2.1357   1198.3959   1198.4022
            1          86      0.0251      2.1608   1198.3653   1198.3716
            1          87      0.0251      2.1859   1198.3342   1198.3405
            1          88      0.0251      2.2111   1198.3025   1198.3089
            1          89      0.0251      2.2362   1198.2704   1198.2768
            1          90      0.0251      2.2613   1198.2377   1198.2441
            1          91      0.0251      2.2864   1198.2044   1198.2108
            1          92      0.0251      2.3116   1198.1705   1198.1770
            1          93      0.0251      2.3367   1198.1361   1198.1425
            1          94      0.0251      2.3618   1198.1010   1198.1075
            1          95      0.0251      2.3869   1198.0653   1198.0718
            1          96      0.0251      2.4121   1198.0290   1198.0355
            1          97      0.0251      2.4372   1197.9920   1197.9985
            1          98      0.0251      2.4623   1197.9544   1197.9609
            1          99      0.0251      2.4874   1197.9160   1197.9225
            1         100      0.0251      2.5126   1197.8769   1197.8834
            1         101      0.0251      2.5377   1197.8371   1197.8436
            1         102      0.0251      2.5628   1197.7965   1197.8031
            1         103      0.0251      2.5879   1197.7552   1197.7617
            1         104      0.0251      2.6131   1197.7130   1197.7195
            1         105      0.0251      2.6382   1197.6701   1197.6766
            1         106      0.0251      2.6633   1197.6262   1197.6327
            1         107      0.0251      2.6884   1197.5815   1197.5880
            1         108      0.0251      2.7136   1197.5359   1197.5424
            1         109      0.0251      2.7387   1197.4894   1197.4958
            1         110      0.0251      2.7638   1197.4419   1197.4483
            1         111      0.0251      2.7889   1197.3934   1197.3998
            1         112      0.0251      2.8141   1197.3438   1197.3503
            1         113      0.0251      2.8392   1197.2933   1197.2997
            1         114      0.0251      2.8643   1197.2416   1197.2480
            1         115      0.0251      2.8894   1197.1888   1197.1952
            1         116      0.0251      2.9146   1197.1349   1197.1412
            1         117      0.0251      2.9397   1197.0797   1197.0860
            1         118      0.0251      2.9648   1197.0233   1197.0296
            1         119      0.0251      2.9899   1196.9656   1196.9719
            1         120      0.0251      3.0151   1196.9066   1196.9128
            1         121      0.0251      3.0402   1196.8461   1196.8524
            1         122      0.0251      3.0653   1196.7843   1196.7905
            1         123      0.0251      3.0905   1196.7210   1196.7271
            1         124      0.0251      3.1156   1196.6561   1196.6622
            1         125      0.0251      3.1407   1196.5896   1196.5957
            1         126      0.0251      3.1658   1196.5214   1196.5275
            1         127      0.0251      3.1910   1196.4516   1196.4576
            1         128      0.0251      3.2161   1196.3799   1196.3859
            1         129      0.0251      3.2412   1196.3063   1196.3123
            1         130      0.0251      3.2663   1196.2308   1196.2368
            1         131      0.0251      3.2915   1196.1533   1196.1593
            1         132      0.0251      3.3166   1196.0737   1196.0796
            1         133      0.0251      3.3417   1195.9918   1195.9977
            1         134      0.0251      3.3668   1195.9076   1195.9135
            1         135      0.0251      3.3920   1195.8211   1195.8269
            1         136      0.0251      3.4171   1195.7320   1195.7377
            1         137      0.0251      3.4422   1195.6402   1195.6460
            1         138      0.0251      3.4673   1195.5457   1195.5514
            1         139      0.0251      3.4925   1195.4483   1195.4540
            1         140      0.0251      3.5176   1195.3479   1195.3535
            1         141      0.0251      3.5427   1195.2443   1195.2499
            1         142      0.0251      3.5678   1195.1373   1195.1429
            1         143      0.0251      3.5930   1195.0268   1195.0323
            1         144      0.0251      3.6181   1194.9126   1194.9181
            1         145      0.0251      3.6432   1194.7945   1194.7999
            1         146      0.0251      3.6683   1194.6722   1194.6776
            1         147      0.0251      3.6935   1194.5456   1194.5510
            1         148      0.0251      3.7186   1194.4143   1194.4197
            1         149      0.0251      3.7437   1194.2782   1194.2835
            1         150      0.0251      3.7688   1194.1369   1194.1422
            1         151      0.0251      3.7940   1193.9901   1193.9954
            1         152      0.0251      3.8191   1193.8374   1193.8427
            1         153      0.0251      3.8442   1193.6786   1193.6839
            1         154      0.0251      3.8693   1193.5131   1193.5184
            1         155      0.0251      3.8945   1193.3405   1193.3458
            1         156      0.0251      3.9196   1193.1604   1193.1657
            1         157      0.0251      3.9447   1192.9722   1192.9775
            1         158      0.0251      3.9698   1192.7753   1192.7807
            1         159      0.0251      3.9950   1192.5691   1192.5745
            1         160      0.0251      4.0201   1192.3529   1192.3584
            1         161      0.0251      4.0452   1192.1259   1192.1314
            1         162      0.0251      4.0704   1191.8872   1191.8928
            1         163      0.0251      4.0955   1191.6358   1191.6415
            1         164      0.0251      4.1206   1191.3708   1191.3766
            1         165      0.0251      4.1457   1191.0908   1191.0967
            1         166      0.0251      4.1709   1190.7945   1190.8006
            1         167      0.0251      4.1960   1190.4804   1190.4867
            1         168      0.0251      4.2211   1190.1468   1190.1534
            1         169      0.0251      4.2462   1189.7918   1189.7986
            1         170      0.0251      4.2714   1189.4131   1189.4202
            1         171      0.0251      4.2965   1189.0082   1189.0157
            1         172      0.0251      4.3216   1188.5742   1188.5822
            1         173      0.0251      4.3467   1188.1078   1188.1164
            1         174      0.0251      4.3719   1187.6051   1187.6143
            1         175      0.0251      4.3970   1187.0615   1187.0714
            1         176      0.0251      4.4221   1186.4717   1186.4826
            1         177      0.0251      4.4472   1185.8294   1185.8415
            1         178      0.0251      4.4724   1185.1272   1185.1407
            1         179      0.0251      4.4975   1184.3561   1184.3712
            1         180      0.0251      4.5226   1183.5051   1183.5224
            1         181      0.0251      4.5477   1182.5611   1182.5809
            1         182      0.0251      4.5729   1181.5075   1181.5306
            1         183      0.0251      4.5980   1180.3239   1180.3511
            1         184      0.0251      4.6231   1178.9842   1179.0167
            1         185      0.0251      4.6482   1177.4551   1177.4946
            1         186      0.0251      4.6734   1175.6928   1175.7416
            1         187      0.0251      4.6985   1173.6392   1173.7005
            1         188      0.0251      4.7236   1171.2147   1171.2936
            1         189      0.0251      4.7487   1168.3083   1168.4123
            1         190      0.0251      4.7739   1164.7598   1164.9008
            1         191      0.0251      4.7990   1160.3288   1160.5269
            1         192      0.0251      4.8241   1154.6392   1154.9294
            1         193      0.0251      4.8492   1147.0673   1147.5144
            1         194      0.0251      4.8744   1136.5056   1137.2361
            1         195      0.0251      4.8995   1120.8072   1122.0761
            1         196      0.0251      4.9246   1095.3466   1097.6247
            1         197      0.0251      4.9497   1048.8538   1052.4225
            1         198      0.0251      4.9749    950.0137    948.6131
            1         199      0.0251      5.0000    700.0000    700.0000
            2           0      0.0503      0.0000   1200.0000   1200.0000
            2           1      0.0503      0.0251   1199.9722   1199.9724
            2           2      0.0503      0.0503   1199.9443   1199.9447
            2           3      0.0503      0.0754   1199.9165   1199.9171
            2           4      0.0503      0.1005   1199.8886   1199.8894
            2           5      0.0503      0.1256   1199.8607   1199.8617
            2           6      0.0503      0.1508   1199.8328   1199.8340
            2           7      0.0503      0.1759   1199.8048   1199.8062
            2           8      0.0503      0.2010   1199.7767   1199.7784
            2           9      0.0503      0.2261   1199.7486   1199.7505
            2          10      0.0503      0.2513   1199.7205   1199.7225
            2          11      0.0503      0.2764   1199.6923   1199.6945
            2          12      0.0503      0.3015   1199.6640   1199.6664
            2          13      0.0503      0.3266   1199.6356   1199.6382
            2          14      0.0503      0.3518   1199.6071   1199.6099
            2          15      0.0503      0.3769   1199.5785   1199.5815
            2          16      0.0503      0.4020   1199.5498   1199.5530
            2          17      0.0503      0.4271   1199.5210   1199.5244
            2          18      0.0503      0.4523   1199.4920   1199.4957
            2          19      0.0503      0.4774   1199.4630   1199.4668
            2          20      0.0503      0.5025   1199.4338   1199.4378
            2          21      0.0503      0.5276   1199.4044   1199.4087
            2          22      0.0503      0.5528   1199.3749   1199.3793
            2          23      0.0503      0.5779   1199.3453   1199.3499
            2          24      0.0503      0.6030   1199.3154   1199.3202
            2          25      0.0503      0.6281   1199.2854   1199.2904
            2          26      0.0503      0.6533   1199.2552   1199.2604
            2          27      0.0503      0.6784   1199.2248   1199.2302
            2          28      0.0503      0.7035   1199.1942   1199.1998
            2          29      0.0503      0.7286   1199.1634   1199.1692
            2          30      0.0503      0.7538   1199.1324   1199.1383
            2          31      0.0503      0.7789   1199.1012   1199.1073
            2          32      0.0503      0.8040   1199.0697   1199.0760
            2          33      0.0503      0.8291   1199.0379   1199.0444
            2          34      0.0503      0.8543   1199.0060   1199.0126
            2          35      0.0503      0.8794   1198.9737   1198.9805
            2          36      0.0503      0.9045   1198.9412   1198.9482
            2          37      0.0503      0.9296   1198.9084   1198.9156
            2          38      0.0503      0.9548   1198.8754   1198.8827
            2          39      0.0503      0.9799   1198.8420   1198.8495
            2          40      0.0503      1.0050   1198.8083   1198.8160
            2          41      0.0503      1.0302   1198.7744   1198.7822
            2          42      0.0503      1.0553   1198.7400   1198.7480
            2          43      0.0503      1.0804   1198.7054   1198.7136
            2          44      0.0503      1.1055   1198.6704   1198.6787
            2          45      0.0503      1.1307   1198.6351   1198.6435
            2          46      0.0503      1.1558   1198.5994   1198.6080
            2          47      0.0503      1.1809   1198.5633   1198.5721
            2          48      0.0503      1.2060   1198.5268   1198.5358
            2          49      0.0503      1.2312   1198.4900   1198.4990
            2          50      0.0503      1.2563   1198.4527   1198.4619
            2          51      0.0503      1.2814   1198.4150   1198.4244
            2          52      0.0503      1.3065   1198.3769   1198.3864
            2          53      0.0503      1.3317   1198.3384   1198.3480
