 ===============================================================
         Steady state solution for a 2D rectangular plate       
             with borders at constant temperature               
                 Adimensional temperatures                      
 ===============================================================
                 Author: Dickson Alves de Souza                 
    Based on lectures by professor Roberto Parreiras Tavares    
       and book Numerical Heat Transfer and Fluid Flow          
       by Suhas V. Patankar (1980)                              
                                                                
               Federal University of Minas Gerais               
                      September 21st, 2017                      
 ===============================================================
                       Input parameters:                        
 
 Lenght in X direction:     5.000000
 Lenght in Y direction:     5.000000
 Nodes in X direction:           200
 Nodes in Y direction:           200
 Temperature T1 (left, right and bottom borders):  1200.000000
 Temperature T2 (top border):                       700.000000
 
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
     No relaxation applied to solution.
 Tolerance: 0.100000E-03
 
 Iterations:                 33604
 ========================================================================
                    Calculation Results                                  
                    Adimensional Values                                  
 ========================================================================
            I           J         X/L         Y/W           T   Exact Sol
            1         183    0.005025    0.919598    0.039352    0.039298
            1         184    0.005025    0.924623    0.042032    0.041967
            1         185    0.005025    0.929648    0.045090    0.045011
            1         186    0.005025    0.934673    0.048614    0.048517
            1         187    0.005025    0.939698    0.052722    0.052599
            1         188    0.005025    0.944724    0.057571    0.057413
            1         189    0.005025    0.949749    0.063383    0.063175
            1         190    0.005025    0.954774    0.070480    0.070198
            1         191    0.005025    0.959799    0.079342    0.078946
            1         192    0.005025    0.964824    0.090722    0.090141
            1         193    0.005025    0.969849    0.105865    0.104971
            1         194    0.005025    0.974874    0.126989    0.125528
            1         195    0.005025    0.979899    0.158386    0.155848
            1         196    0.005025    0.984925    0.209307    0.204751
            1         197    0.005025    0.989950    0.302292    0.295155
            1         198    0.005025    0.994975    0.499973    0.502774
            1         199    0.005025    1.000000    1.000000    1.000000
            2           0    0.010050    0.000000    0.000000    0.000000
            2           1    0.010050    0.005025    0.000000    0.000000
            2           2    0.010050    0.010050    0.000111    0.000111
            2           3    0.010050    0.015075    0.000167    0.000166
            2           4    0.010050    0.020101    0.000223    0.000221
            2           5    0.010050    0.025126    0.000279    0.000277
            2           6    0.010050    0.030151    0.000334    0.000332
            2           7    0.010050    0.035176    0.000390    0.000388
            2           8    0.010050    0.040201    0.000447    0.000443
            2           9    0.010050    0.045226    0.000503    0.000499
            2          10    0.010050    0.050251    0.000559    0.000555
            2          11    0.010050    0.055276    0.000615    0.000611
            2          12    0.010050    0.060302    0.000672    0.000667
            2          13    0.010050    0.065327    0.000729    0.000724
            2          14    0.010050    0.070352    0.000786    0.000780
            2          15    0.010050    0.075377    0.000843    0.000837
            2          16    0.010050    0.080402    0.000900    0.000894
            2          17    0.010050    0.085427    0.000958    0.000951
            2          18    0.010050    0.090452    0.001016    0.001009
            2          19    0.010050    0.095477    0.001074    0.001066
            2          20    0.010050    0.100503    0.001132    0.001124
            2          21    0.010050    0.105528    0.001191    0.001183
            2          22    0.010050    0.110553    0.001250    0.001241
            2          23    0.010050    0.115578    0.001309    0.001300
            2          24    0.010050    0.120603    0.001369    0.001360
            2          25    0.010050    0.125628    0.001429    0.001419
            2          26    0.010050    0.130653    0.001490    0.001479
            2          27    0.010050    0.135678    0.001550    0.001540
            2          28    0.010050    0.140704    0.001612    0.001600
            2          29    0.010050    0.145729    0.001673    0.001662
            2          30    0.010050    0.150754    0.001735    0.001723
            2          31    0.010050    0.155779    0.001798    0.001785
            2          32    0.010050    0.160804    0.001861    0.001848
            2          33    0.010050    0.165829    0.001924    0.001911
            2          34    0.010050    0.170854    0.001988    0.001975
            2          35    0.010050    0.175879    0.002053    0.002039
            2          36    0.010050    0.180905    0.002118    0.002104
            2          37    0.010050    0.185930    0.002183    0.002169
            2          38    0.010050    0.190955    0.002249    0.002235
            2          39    0.010050    0.195980    0.002316    0.002301
            2          40    0.010050    0.201005    0.002383    0.002368
            2          41    0.010050    0.206030    0.002451    0.002436
            2          42    0.010050    0.211055    0.002520    0.002504
